Cycle,ChargingCapacity,DischargingCapacity,ChargingVoltage,DischargingVoltage,ChargingTemp,DischargingTemp,ChargingTime,DischargingTime
57,566.7898372,-592.8573513,4.2001333,2.7000155,40.712971,41.387009,736407.7943,736407.7624
58,564.7710881,-590.425367,4.2000928,2.6997349,40.775379,41.436913,736414.857,736414.8253
59,563.0229675,-589.4471143,4.1997323,2.699775,40.750408,41.399475,736421.7184,736421.6867
60,561.531986,-588.1173066,4.1998525,2.6998951,40.837788,41.374504,736428.5775,736428.5459
61,559.0240165,-585.5603691,4.1999307,2.7000136,40.862762,41.474392,736436.6657,736436.6342
62,558.993235,-585.7463795,4.1998906,2.7002141,40.725437,41.387009,736443.5209,736443.4895
63,557.2408422,-584.151831,4.1998506,2.6997731,40.737942,41.387009,736450.3731,736450.3417
64,554.0352644,-581.275762,4.1999707,2.6997731,40.825283,41.524292,736459.5393,736459.5081
65,554.4326746,-581.6547783,4.2000108,2.6998935,40.775379,41.449417,736466.387,736466.3558
66,552.593674,-580.033439,4.1997705,2.6998532,40.80035,41.399475,736473.2308,736473.1997
67,550.9885335,-577.6338802,4.1999726,2.699935,40.80035,41.399475,736490.5443,736490.5133
68,550.4593526,-577.5893924,4.199852,2.7000153,40.775379,41.436913,736497.3812,736497.3502
69,549.1350762,-576.4167708,4.2000527,2.7001758,40.850254,41.362038,736504.2138,736504.1829
70,545.1952021,-573.097979,4.1999321,2.7000954,40.775379,41.499325,736515.76,736515.7293
71,545.1952021,-573.097979,4.1999321,2.7000954,40.775379,41.499325,736515.76,736515.7293
72,545.2029576,-574.971466,4.199852,2.6998549,40.737942,41.461884,736522.6442,736522.6135
73,543.670512,-572.037564,4.1997318,2.7001355,40.787846,41.449417,736529.4686,736529.4381
74,541.9178534,-570.4365838,4.2000928,2.7001355,40.775379,41.511826,736536.2911,736536.2607
75,539.6733627,-568.2678595,4.1999497,2.699832,40.762875,41.449417,736543.5187,736543.4884
76,538.7682346,-567.7929103,4.1999497,2.7001929,40.787846,41.349533,736550.3368,736550.3065
77,537.5784987,-566.7532309,4.1999898,2.6997919,40.762875,41.374504,736557.1524,736557.1221
78,534.7154671,-564.2265725,4.199789,2.7000725,40.762875,41.411942,736564.7366,736564.7066
79,534.7317289,-564.3176976,4.199789,2.6999924,40.787846,41.374504,736571.5496,736571.5195
80,533.2962154,-563.0464545,4.199749,2.7000725,40.675533,41.374504,736578.3588,736578.3288
81,529.4571383,-560.0135969,4.20011,2.7001529,40.837788,41.549267,736586.6835,736586.6537
82,530.5961184,-560.6495829,4.1999097,2.6999924,40.762875,41.374504,736593.4895,736593.4597
0,718.7412979,-734.8189657,4.199935,2.699652,40.272949,40.946712,735954.8976,735954.8572
1,709.5681071,-726.6220579,4.1998949,2.6999323,40.235508,40.884304,735962.0591,735962.0192
2,704.9058163,-722.15714,4.1998148,2.6999323,40.210575,40.909275,735969.2092,735969.1696
3,702.3456149,-719.21562,4.1998296,2.7001479,40.247974,40.884304,735977.8726,735977.8331
4,697.1368474,-714.5823075,4.1998296,2.7000675,40.210575,40.934246,735985.0035,735984.9643
5,693.528053,-711.1216758,4.1999502,2.7000275,40.260483,40.934246,735992.1267,735992.0877
6,690.2526228,-708.0616104,4.1998296,2.7001479,40.148167,40.934246,735999.2425,735999.2037
7,687.9312179,-705.4509534,4.1999207,2.6998377,40.260483,40.946712,736006.8703,736006.8316
8,683.9562011,-701.9102315,4.1998806,2.7002387,40.310383,40.896809,736013.9748,736013.9363
9,681.149037,-699.2549903,4.1998005,2.6999981,40.185604,40.934246,736021.073,736021.0347
10,678.4389755,-696.663755,4.1997204,2.6999981,40.223042,40.809467,736028.1652,736028.127
11,675.6869705,-693.9847933,4.1998405,2.699918,40.260483,40.984154,736035.2515,736035.2135
12,672.6909482,-691.201113,4.1998005,2.6999981,40.285416,40.934246,736042.3319,736042.294
13,669.6118517,-688.2824454,4.1999207,2.7000782,40.235508,40.884304,736049.4061,736049.3684
14,666.669358,-685.4468688,4.2000809,2.7001183,40.260483,40.909275,736056.4741,736056.4366
15,,,,,40.260483,,736056.4741,736056.4366
16,661.0438751,-679.5110214,4.2000775,2.6999547,40.372757,41.096428,736071.6273,736071.5901
17,,,,,40.372757,,736071.6273,736071.5901
18,654.8732929,-674.0054456,4.1999173,2.6999147,40.410194,41.034054,736088.8274,736088.7905
19,651.5763009,-670.6497833,4.2000613,2.7001791,40.272949,40.971645,736096.6025,736096.5658
20,648.0620407,-667.3525809,4.200026,2.6998632,40.223042,40.946712,736104.6018,736104.5653
21,645.0273202,-665.2355877,4.1996255,2.7001038,40.297916,41.04652,736111.6455,736111.6092
22,641.9561588,-661.5433405,4.1999202,2.7000377,40.397728,40.99662,736119.726,736119.6899
23,639.1817874,-659.7519802,4.1999202,2.7000377,40.347824,41.083961,736126.7603,736126.7244
24,636.1469874,-656.2873914,4.1998954,2.7001731,40.372757,41.096428,736134.7112,736134.6753
25,633.5869444,-654.6501052,4.2000155,2.6999326,40.435165,41.071495,736141.7363,736141.7006
26,630.2719502,-650.3893529,4.1999078,2.7001457,40.460098,41.171303,736151.9034,736151.8679
27,628.4404882,-649.6653133,4.200068,2.7000253,40.385223,41.071495,736158.919,736158.8837
28,625.6947332,-647.1329169,4.1997876,2.7000253,40.435165,41.133865,736165.9376,736165.9024
29,621.4573128,-642.134825,4.1998277,2.7000654,40.372757,41.083961,736177.8588,736177.8238
30,620.0355903,-641.7052831,4.1998277,2.6998651,40.385223,41.146332,736184.8611,736184.8262
31,617.0226658,-638.9952205,4.1999478,2.7001057,40.460098,41.183769,736191.8669,736191.8322
32,613.5290644,-634.9703545,4.1999078,2.7000253,40.497536,41.108894,736200.8486,736200.814
33,611.8853333,-634.2086228,4.1997876,2.7000253,40.372757,41.058987,736207.8392,736207.8048
34,,,,,40.372757,,736207.8392,736207.8048
35,606.7991489,-627.7048777,4.1999741,2.6999314,40.335316,41.133865,736223.6728,736223.6387
36,606.1075188,-628.1200745,4.2000542,2.7000515,40.360291,41.096428,736230.6466,736230.6125
37,602.0501713,-626.1354826,4.199894,2.6996908,38.601017,41.932411,736237.6266,736237.5927
38,599.8041258,-621.1583133,4.1997738,2.6999314,40.372757,41.146332,736249.7989,736249.7651
39,599.0627114,-621.462893,4.1998539,2.7000916,40.410194,41.108894,736256.7631,736256.7294
40,596.8222385,-619.5183548,4.2002144,2.7000115,40.472565,41.20874,736263.7366,736263.703
41,593.1072436,-615.5350095,4.1998539,2.6998913,40.435165,41.171303,736272.5186,736272.4853
42,591.9062525,-614.8821185,4.1998148,2.6999724,40.397728,41.171303,736279.7166,736279.6833
43,589.1572257,-612.8973459,4.199935,2.7000124,40.422661,41.158836,736286.6662,736286.633
44,586.9061799,-610.912805,4.2000551,2.6999724,40.372757,41.171303,736293.6193,736293.5863
45,583.6450164,-607.2824549,4.1996942,2.7000926,40.497536,41.108894,736301.5882,736301.5554
46,582.6071783,-606.9661398,4.1997347,2.699852,40.397728,41.121399,736308.5285,736308.4957
47,,,,,40.397728,,736308.5285,736308.4957
48,578.537156,-603.289326,4.1998615,2.6998186,40.472565,41.196236,736324.5779,736324.5453
49,,,,,40.472565,,736324.5779,736324.5453
50,540.1406011,-565.6961523,4.1998305,2.7001085,40.435165,41.420822,736348.7803,736348.7499
51,544.1508261,-577.9189479,4.1999507,2.699908,40.360291,41.395889,736355.6759,736355.6453
52,543.2743302,-575.4802013,4.2001452,2.7000628,40.77203,41.68285,736367.7707,736367.7401
53,546.5392957,-580.8788758,4.1997848,2.6999424,40.697151,41.607975,736374.6535,736374.6228
54,546.5661248,-581.0260227,4.1999049,2.7001429,40.597343,41.583042,736381.5307,736381.4999
55,541.5460386,-575.9512938,4.2000651,2.7000628,40.659752,41.732754,736394.058,736394.0275
56,544.3258965,-578.8701635,4.2000651,2.7000227,40.634785,41.632946,736400.9286,736400.898
57,543.3293545,-578.0391777,4.1999049,2.6999824,40.634785,41.595509,736407.7928,736407.7623
58,541.0781345,-575.2941545,4.1999049,2.6998622,40.672218,41.670383,736414.8594,736414.8289
59,539.873856,-574.6726428,4.1998248,2.7000227,40.70966,41.68285,736421.718,736421.6876
60,538.0126744,-573.0003168,4.2000251,2.7001028,40.634785,41.607975,736428.5719,736428.5416
61,531.7941461,-567.4637468,4.1997972,2.699995,40.809467,41.795166,736436.6673,736436.6374
62,535.3074075,-570.4755641,4.1999178,2.7000754,40.634785,41.707825,736443.5156,736443.4855
63,533.4260005,-568.8010284,4.2001181,2.7001555,40.622318,41.558071,736450.3589,736450.3289
64,526.2557812,-562.7251821,4.200038,2.6998749,40.759563,41.857533,736459.541,736459.5114
65,530.2883049,-565.7941735,4.1999178,2.699955,40.697151,41.707825,736466.3794,736466.3495
66,528.0916532,-563.8357095,4.1999979,2.7002356,40.759563,41.583042,736473.2111,736473.1814
67,529.1747536,-561.433476,4.1999302,2.7000074,40.821934,41.782658,736490.5469,736490.5171
68,529.2633184,-564.0030095,4.2000504,2.7000475,40.784496,41.68285,736497.3798,736497.35
69,527.0825452,-562.1277486,4.1998897,2.6998072,40.70966,41.707825,736504.2029,736504.1733
70,519.7201223,-556.2119203,4.1999302,2.6999273,40.821934,41.770191,736515.7613,736515.732
71,520.7728066,-556.3346789,4.1997695,2.7000074,40.77203,41.695316,736522.6662,736522.6369
72,520.6440835,-556.8875257,4.1998496,2.7000475,40.784496,41.720291,736529.4775,736529.4482
73,520.4910666,-557.1166198,4.1996093,2.7002881,40.77203,41.670383,736536.2856,736536.2563
74,475.4615622,-501.4350459,4.1998096,2.7000475,40.784496,41.607975,736543.726,736543.6993
75,524.592346,-562.2337021,4.1998496,2.6998472,40.747059,41.545605,736550.5454,736550.5159
76,520.70863,-558.6320679,4.1998897,2.6999273,40.747059,41.632946,736557.3699,736557.3406
77,505.7172068,-544.9147707,4.1999702,2.7002881,40.809467,41.807632,736564.7436,736564.7152
0,718.7631395,-735.1195951,4.1998329,2.6998932,40.072475,40.559284,735954.8989,735954.8585
1,709.7737528,-726.687227,4.1999531,2.6999333,40.159855,40.571751,735962.0608,735962.021
2,705.5003496,-722.7328355,4.2001538,2.7000134,40.172321,40.571751,735969.2128,735969.1732
3,703.1797155,-720.2066836,4.1997614,2.6997411,40.197292,40.596722,735977.8734,735977.8339
4,698.6793039,-716.0503279,4.1998816,2.6999819,40.159855,40.546776,735985.0075,735984.9683
5,695.5755666,-713.0840305,4.2000017,2.7001824,40.172321,40.546776,735992.1351,735992.0961
6,692.6804139,-710.058312,4.1999216,2.7002225,40.122375,40.509342,735999.2566,735999.2178
7,690.9952734,-708.5077118,4.199842,2.6999826,40.197292,40.571751,736006.8708,736006.8319
8,687.6160393,-705.5725276,4.2000427,2.6999826,40.197292,40.609188,736013.9755,736013.9368
9,685.1340395,-703.2127351,4.1999626,2.7001431,40.134884,40.521809,736021.0748,736021.0362
10,682.7033126,-700.8922492,4.1999226,2.6999426,40.209759,40.521809,736028.1685,736028.1301
11,680.3608813,-698.6703029,4.2000427,2.7002232,40.247196,40.634159,736035.257,736035.2187
12,677.9297547,-696.3460285,4.1999626,2.7000227,40.122375,40.621693,736042.3409,736042.3027
13,675.3622352,-693.9320435,4.1997619,2.6999826,40.134884,40.646626,736049.4194,736049.3814
14,672.7948973,-691.4782753,4.199842,2.7001431,40.159855,40.534309,736056.4928,736056.4549
15,,,,,40.159855,,736056.4928,736056.4549
16,667.8607507,-686.4039761,4.1999569,2.6999369,40.284672,40.684105,736071.628,736071.5904
17,,,,,40.284672,,736071.628,736071.5904
18,661.946903,-681.1264227,4.1997962,2.6998568,40.322113,40.746513,736088.8281,736088.7909
19,659.0533481,-678.2317769,4.1998663,2.7000468,40.222263,40.65913,736096.6032,736096.5661
20,656.1259535,-675.4148559,4.1997485,2.699929,40.134884,40.584217,736104.6026,736104.5657
21,653.2635233,-673.3918107,4.1998286,2.7000494,40.23473,40.559284,736111.6398,736111.6031
22,650.3072266,-669.9072324,4.2000251,2.6999252,40.297138,40.684105,736119.7268,736119.6902
23,647.5960743,-667.9872304,4.1997447,2.7001257,40.334579,40.684105,736126.7554,736126.719
24,645.10736,-665.1830232,4.1997476,2.7001688,40.272167,40.734005,736134.712,736134.6757
25,642.2626477,-663.1787555,4.1998277,2.6999283,40.309605,40.734005,736141.7317,736141.6956
26,639.4436417,-659.6375677,4.1999888,2.6998887,40.347084,40.721539,736151.9042,736151.8682
27,637.2262217,-658.3707894,4.1999087,2.6998887,40.372017,40.65913,736158.9142,736158.8784
28,634.4764265,-655.8547866,4.1999087,2.7001693,40.372017,40.783951,736165.9325,736165.8968
29,631.2939333,-651.9694143,4.1997881,2.6997683,40.297138,40.746513,736177.8597,736177.8242
30,629.3235018,-650.9774306,4.1998281,2.7001293,40.396988,40.833893,736184.856,736184.8206
31,626.783069,-648.7293267,4.1999087,2.7000492,40.396988,40.734005,736191.8614,736191.8261
32,623.7088202,-645.0933333,4.1999488,2.7001293,40.396988,40.846359,736200.8495,736200.8144
33,,,,,40.396988,,736200.8495,736200.8144
34,,,,,40.396988,,736200.8495,736200.8144
35,617.4528684,-638.1805844,4.1998758,2.7004573,40.272167,40.65913,736223.6737,736223.639
36,615.9119793,-637.7480161,4.1999559,2.6998959,40.322113,40.709038,736230.6416,736230.6069
37,612.2898771,-635.8980556,4.1999559,2.7002568,38.936558,41.445522,736237.6224,736237.588
38,611.1571187,-632.3420224,4.1999159,2.7000163,40.334579,40.783951,736249.7999,736249.7655
39,609.5205119,-631.7149177,4.1998758,2.6998158,40.35955,40.783951,736256.7608,736256.7265
40,607.1033437,-629.6603428,4.1998758,2.7000563,40.35955,40.821388,736263.7316,736263.6975
41,604.5793553,-626.6624753,4.1997957,2.6998158,40.44693,40.821388,736272.5196,736272.4856
42,603.0115006,-625.6675663,4.1999469,2.6999269,40.384521,40.821388,736279.7176,736279.6837
43,600.4328459,-623.8028895,4.1999068,2.6999669,40.409492,40.75898,736286.6652,736286.6314
44,598.2719965,-621.8625687,4.1999068,2.6998065,40.334579,40.734005,736293.6234,736293.5897
45,595.3413097,-618.4472051,4.1998663,2.7001274,40.372017,40.783951,736301.5892,736301.5557
46,593.38746,-617.3970628,4.1999068,2.6998465,40.372017,40.721539,736308.5271,736308.4938
47,,,,,40.372017,,736308.5271,736308.4938
48,589.3170988,-613.8286055,4.1997929,2.7001338,40.372017,40.808922,736324.575,736324.5419
49,,,,,40.372017,,736324.575,736324.5419
50,584.5440061,-608.92485,4.2000256,2.7000859,40.334579,40.846359,736348.7771,736348.7443
51,582.3691353,-607.5595767,4.1999855,2.7001259,40.272167,40.783951,736355.6709,736355.6382
52,580.2034367,-604.4512359,4.1998696,2.6997695,40.459396,40.883797,736367.7689,736367.7363
53,579.2706408,-604.3593652,4.1999497,2.7000904,40.434425,40.833893,736374.6574,736374.6248
54,577.1580542,-602.5054697,4.1998696,2.7002509,40.384521,40.771484,736381.5429,736381.5104
55,574.264366,-599.4989362,4.1997495,2.6998899,40.521809,40.908768,736394.0564,736394.0241
56,573.8363943,-599.6266429,4.1999097,2.6998899,40.421959,40.883797,736400.9357,736400.9035
57,571.9932397,-597.9470266,4.1999097,2.7000103,40.434425,40.883797,736407.8121,736407.7799
58,569.9563823,-595.6181045,4.1997094,2.7000504,40.546776,40.971176,736414.8576,736414.8255
59,567.7289926,-594.1606611,4.1998696,2.7000904,40.421959,40.896301,736421.7274,736421.6955
60,565.7341882,-592.2878485,4.1997895,2.7001305,40.496876,40.858826,736428.5941,736428.5623
61,562.8485649,-589.3378363,4.199832,2.7003334,40.671597,41.071026,736436.6657,736436.634
62,562.1106182,-588.8489304,4.1999521,2.7000127,40.484367,41.046093,736443.5254,736443.4937
63,560.2828757,-587.1626914,4.1999521,2.6998119,40.609188,40.971176,736450.382,736450.3505
64,557.7023097,-584.8877046,4.2001128,2.7000127,40.721539,41.145939,736459.5397,736459.5083
65,557.3780738,-584.6155005,4.199872,2.7001729,40.621693,41.095997,736466.3909,736466.3595
66,555.6053352,-582.9967983,4.2001529,2.7000127,40.609188,41.108505,736473.2385,736473.2072
67,556.1283911,-582.4711286,4.1999588,2.7002597,40.709038,41.120972,736490.5448,736490.5135
68,555.6865693,-582.669789,4.1999588,2.699939,40.609188,41.095997,736497.3869,736497.3557
69,553.9327554,-581.1245224,4.1998386,2.6998987,40.596722,41.08353,736504.2258,736504.1946
70,551.0498875,-578.7011823,4.200079,2.6999791,40.634159,41.18338,736515.7605,736515.7295
71,551.172264,-580.2683003,4.1999588,2.6998587,40.596722,41.095997,736522.6508,736522.6198
72,549.436831,-577.6091746,4.200079,2.6997385,40.684105,41.108505,736529.4835,736529.4526
73,547.6232289,-575.9966217,4.1998386,2.7000191,40.634159,41.133438,736536.3134,736536.2826
74,545.759524,-574.0759611,4.2000389,2.699939,40.634159,41.133438,736543.5191,736543.4884
75,544.3290847,-573.0825077,4.1998787,2.699939,40.609188,41.095997,736550.345,736550.3144
76,542.6947331,-571.5622068,4.1998386,2.6998587,40.684105,41.145939,736557.1682,736557.1377
77,540.5556469,-569.8652392,4.1999588,2.7001395,40.684105,41.108505,736564.7371,736564.7067
78,539.8710664,-569.3134737,4.2000389,2.699939,40.571751,41.021122,736571.5565,736571.5261
79,538.3529425,-567.869427,4.1999588,2.7001395,40.621693,41.071026,736578.373,736578.3427
80,536.0941144,-566.4618705,4.1997986,2.7001395,40.709038,41.095997,736586.6841,736586.6539
81,535.9892379,-565.857303,4.1999187,2.7000992,40.596722,41.033588,736593.4982,736593.4681
0,721.1164844,-734.0756159,4.1998506,2.7001176,40.581879,41.405746,735954.8983,735954.8577
1,712.0679318,-725.6895678,4.1998906,2.6997566,40.507004,41.343338,735962.0688,735962.0287
2,706.9871122,-720.520947,4.1998906,2.6999974,40.569412,41.181042,735969.2279,735969.1881
3,703.2141197,-716.8993845,4.200058,2.699924,40.619316,41.218479,735977.8743,735977.8347
4,697.5632034,-711.6089577,4.199657,2.7000041,40.569412,41.218479,735985.0104,735984.9712
5,693.4313661,-707.538136,4.1998572,2.7001245,40.594383,41.218479,735992.1368,735992.0978
6,689.3232259,-703.3674972,4.200098,2.699964,40.619316,41.218479,735999.2551,735999.2163
7,684.6806727,-701.7227475,4.2001958,2.6998613,40.594383,41.243454,736006.8704,736006.8318
8,680.5215712,-698.0057686,4.1998749,2.6999013,40.60685,41.230988,736013.9729,736013.9346
9,676.9138723,-694.5155634,4.199995,2.7000217,40.644291,41.243454,736021.0681,736021.03
10,673.1332689,-690.9174915,4.1999149,2.6997809,40.544441,41.243454,736028.1554,736028.1175
11,669.254473,-687.1888482,4.1998348,2.6999414,40.644291,41.230988,736035.2342,736035.1966
12,664.8751991,-682.9508148,4.199995,2.7000217,40.581879,41.143604,736042.3059,736042.2684
13,660.7292773,-678.9738121,4.1999149,2.6999815,40.594383,41.230988,736049.3677,736049.3305
14,656.5154255,-674.7946724,4.2001958,2.6999013,40.644291,41.28093,736056.4218,736056.3849
15,,,,,40.644291,,736056.4218,736056.3849
16,649.0225222,-667.0886949,4.2001252,2.7000716,40.694233,41.305862,736071.626,736071.5895
17,,,,,40.694233,,736071.626,736071.5895
18,640.7433987,-659.5060783,4.1998844,2.6999111,40.744175,41.318367,736088.8259,736088.7899
19,636.9393948,-655.800346,4.1998777,2.6999848,40.744175,41.268421,736096.6009,736096.5651
20,632.8373748,-651.8358917,4.2000842,2.7001908,40.694233,41.28093,736104.6002,736104.5646
21,629.3621179,-649.1322952,4.1999235,2.6999502,40.60685,41.168575,736111.6541,736111.6187
22,625.4200706,-644.8275992,4.1999159,2.6998622,40.656792,41.28093,736119.7243,736119.6891
23,622.5492504,-642.73457,4.1999559,2.6999424,40.644291,41.206013,736126.7678,736126.7328
24,619.9996877,-639.7795284,4.1998458,2.6999524,40.694233,41.305862,736134.7096,736134.6747
25,617.2418496,-637.912457,4.1997652,2.7000327,40.694233,41.268421,736141.7455,736141.7107
26,612.9669081,-632.844296,4.1999259,2.699872,40.81905,41.368309,736151.9016,736151.8671
27,610.5559913,-631.3567585,4.199966,2.699872,40.73167,41.343338,736158.927,736158.8926
28,608.2378642,-629.2342767,4.1998453,2.7000725,40.769108,41.368309,736165.9453,736165.911
29,604.1494928,-624.4071836,4.1998453,2.6999521,40.769108,41.318367,736177.8572,736177.8232
30,602.7136126,-624.0241576,4.1997252,2.699832,40.794079,41.380775,736184.8699,736184.8359
31,599.4423191,-621.0406372,4.1999259,2.6999121,40.744175,41.318367,736191.8742,736191.8405
32,596.2102733,-617.4298009,4.1997652,2.7000325,40.73167,41.380775,736200.8468,736200.8133
33,594.6531594,-616.6100994,4.200006,2.6999924,40.756641,41.318367,736207.8493,736207.8158
34,,,,,40.756641,,736207.8493,736207.8158
35,589.2581597,-610.0098423,4.1998501,2.700037,40.744175,41.318367,736223.671,736223.6379
36,587.3144896,-609.0845318,4.1998901,2.700037,40.694233,41.206013,736230.6578,736230.6247
37,582.3196169,-606.8422395,4.1999302,2.6999969,38.397427,41.842613,736237.6354,736237.6026
38,580.8840633,-602.1429401,4.1998501,2.7000773,40.794079,41.368309,736249.7971,736249.7644
39,580.0492211,-602.259064,4.1999302,2.6999969,40.694233,41.243454,736256.7716,736256.739
40,578.2639342,-600.8081319,4.2000508,2.700037,40.781612,41.330833,736263.7454,736263.7128
41,574.0774628,-596.5517044,4.1995692,2.7001975,40.868996,41.418213,736272.5169,736272.4845
42,572.8297307,-595.6564766,4.1999035,2.69997,40.794079,41.393242,736279.7147,736279.6824
43,570.1357002,-593.6652687,4.1999836,2.6998897,40.73167,41.318367,736286.6732,736286.6411
44,568.1299647,-591.9132492,4.1997828,2.7000501,40.81905,41.380775,736293.6272,736293.5952
45,564.5128976,-588.2730658,4.2000237,2.700331,40.81905,41.405746,736301.5865,736301.5547
46,563.6108885,-587.816229,4.1999035,2.7001705,40.744175,41.268421,736308.5368,736308.505
47,,,,,40.744175,,736308.5368,736308.505
48,559.8291404,-584.5267631,4.199924,2.7001913,40.844021,41.368309,736324.5865,736324.555
49,,,,,40.844021,,736324.5865,736324.555
50,557.4281095,-582.337908,4.200026,2.6999323,40.806583,41.318367,736348.7748,736348.7434
51,555.5754281,-581.2337716,4.2001061,2.7001328,40.744175,41.293396,736355.6208,736355.5895
0,720.4058178,-735.3360707,4.1996593,2.69981,41.269474,42.042503,735954.8979,735954.8576
1,710.5202357,-726.3272216,4.1997795,2.7000906,41.194679,42.092369,735962.0526,735962.0128
